Parameter name, value
agr_inp_init,5000000000.0
agr_mtl_toxic_index,1.0
arable_land_init,900000000.0
assim_half_life_1970,1.5
avg_life_land_norm,1000.0
des_compl_fam_size_norm,3.8
des_food_ratio_dfr,2.0
des_ppoll_index_DPOLX,1.2
des_res_use_rt_DNRUR,4800000000.0
food_short_perc_del,2.0
fr_agr_inp_pers_mtl,0.001
frac_res_pers_mtl,0.02
hlth_serv_impact_del,20.0
income_expect_avg_time,3.0
ind_mtl_emiss_fact,0.1
ind_mtl_toxic_index,10.0
ind_out_in_1970,790000000000.0
ind_out_pc_des,400.0
industrial_capital_init,210000000000.0
inherent_land_fert,600.0
labor_force_partic,0.75
labor_util_fr_del_init,1.0
labor_util_fr_del_time,2.0
land_fertility_init,600.0
land_fr_harvested,0.7
life_expect_norm,28.0
lifet_perc_del,20.0
max_tot_fert_norm,12.0
nr_resources_init,1000000000000.0
p_avg_life_agr_inp_1,2.0
p_avg_life_agr_inp_2,2.0
p_avg_life_ind_cap_1,14.0
p_avg_life_ind_cap_2,14.0
p_avg_life_serv_cap_1,20.0
p_avg_life_serv_cap_2,20.0
p_fioa_cons_const_1,0.43
p_fioa_cons_const_2,0.43
p_fr_cap_al_obt_res_2[1],1.0
p_fr_cap_al_obt_res_2[2],0.2
p_fr_cap_al_obt_res_2[3],0.1
p_fr_cap_al_obt_res_2[4],0.05
p_fr_cap_al_obt_res_2[5],0.05
p_fr_cap_al_obt_res_2[6],0.05
p_fr_cap_al_obt_res_2[7],0.05
p_fr_cap_al_obt_res_2[8],0.05
p_fr_cap_al_obt_res_2[9],0.05
p_fr_cap_al_obt_res_2[10],0.05
p_fr_cap_al_obt_res_2[11],0.05
p_ind_cap_out_ratio_1,3.0
p_land_yield_fact_1,1.0
p_nr_res_use_fact_1,1.0
p_ppoll_gen_fact_1,1.0
p_ppoll_tech_chg_mlt[1],0.0
p_ppoll_tech_chg_mlt[2],0.0
p_ppoll_tech_chg_mlt[3],0.0
p_ppoll_tech_chg_mlt[4],0.0
p_res_tech_chg_mlt[1],0.0
p_res_tech_chg_mlt[2],0.0
p_res_tech_chg_mlt[3],0.0
p_res_tech_chg_mlt[4],0.0
p_serv_cap_out_ratio_1,1.0
p_serv_cap_out_ratio_2,1.0
p_yield_tech_chg_mlt[1],0.0
p_yield_tech_chg_mlt[2],0.0
p_yield_tech_chg_mlt[3],0.0
p_yield_tech_chg_mlt[4],0.0
perc_food_ratio_init,1.0
pers_pollution_init,25000000.0
pop1_init,650000000.0
pop2_init,700000000.0
pop3_init,190000000.0
pop4_init,60000000.0
pot_arable_land_init,2300000000.0
pot_arable_land_tot,3200000000.0
ppoll_in_1970,136000000.0
ppoll_tech_init,1.0
ppoll_trans_del,20.0
processing_loss,0.1
reproductive_lifetime,30.0
res_tech_init,1.0
service_capital_init,144000000000.0
social_adj_del,20.0
social_discount,0.07000000000000001
subsist_food_pc,230.0
t_air_poll_time,4000.0
t_fcaor_time,4000.0
t_fert_cont_eff_time,4000.0
t_ind_equil_time,4000.0
t_land_life_time,4000.0
t_policy_year,4000.0
t_pop_equil_time,4000.0
t_zero_pop_grow_time,4000.0
tech_dev_del_TDD,20.0
urb_ind_land_dev_time,10.0
urban_ind_land_init,8200000.0
yield_tech_init,1.0

