param\var,Food_Production1.P_Land_Yield_Fact_2.Smooth2.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth1.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth2.Integrator1.y,Pollution_Dynamics1.PPoll_Tech_PTD.Integrator1.y,Labor_Utilization1.Labor_Util_Fr_Del.Integrator1.y,NR_Resource_Utilization1.Res_Tech_NRTD.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth1.Integrator1.y,Industrial_Investment1.Industrial_Capital.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth3.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth3.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth1.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth1.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth1.Integrator1.y,Population_Dynamics1.Pop_65plus.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth2.Integrator1.y,Land_Fertility1.Land_Fertility.Integrator1.y,NR_Resource_Utilization1.NR_Resources.Integrator1.y,Population_Dynamics1.Pop_15_44.Integrator1.y,Human_Fertility1.Avg_Ind_Out_PC.Smooth_of_Input.Integrator1.y,Land_Fertility1.Yield_Tech_LYTD.Integrator1.y,Population_Dynamics1.Pop_45_64.Integrator1.y,Food_Production1.Agr_Inp.Integrator1.y,Arable_Land_Dynamics1.Pot_Arable_Land.Integrator1.y,Population_Dynamics1.Pop_0_14.Integrator1.y,Life_Expectancy1.Eff_Hlth_Serv_PC.Smooth_of_Input.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth3.Integrator1.y,Arable_Land_Dynamics1.Arable_Land.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth1.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth3.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth3.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth3.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth3.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth1.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth2.Integrator1.y,Service_Sector_Investment1.Service_Capital.Integrator1.y,Pollution_Dynamics1.Pers_Pollution.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth2.Integrator1.y,Arable_Land_Dynamics1.Urban_Ind_Land.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth2.Integrator1.y,Food_Production1.Perc_Food_Ratio.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth2.Integrator1.y
industrial_capital_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subsist_food_pc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labor_util_fr_del_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_res_tech_chg_mlt[1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_fr_cap_al_obt_res_2[1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
income_expect_avg_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
des_res_use_rt_DNRUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social_adj_del,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frac_res_pers_mtl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fr_agr_inp_pers_mtl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_ind_cap_out_ratio_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppoll_trans_del,0,4.97958649231584E-14,0,0,-1.09132487819256E-15,0,0,0.00060460917579,0,3.6902945742698E-16,0,-6.1505276749185E-14,0,4.90683846577547E-08,0,1.13065669701284E-14,9.26733475662935E-06,-1.75554106185348E-07,3.870561970457E-14,0,-2.00518176837488E-08,1.85592780619457E-05,-2.07810245205219E-07,1.33496752950435E-07,-1.74017998218158E-14,3.63303029159971E-11,807385.492234041,-3.53504024816985E-09,-2.07429316661343E-16,0,0,0,0,-1.51063199957953E-15,-7.65324511699801E-06,-1.63825224392665E-08,0,4.90254004818134E-09,6.89929048209457E-15,2.0680071470555E-15,1.76394145070533E-09
p_fr_cap_al_obt_res_2[8],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_yield_tech_chg_mlt[1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_land_yield_fact_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perc_food_ratio_init,0,-6.40839149420804E-14,0,0,-1.95474913824267E-15,0,0,0.00012039309537,0,-4.23115284293459E-17,0,4.93936945903002E-13,0,-1.74037396922123E-07,0,-2.43998174177853E-15,-2.4164078529625E-05,-8.26476140386839E-07,-2.59637884749629E-14,0,-9.57380826743323E-08,-4.16471686712186E-05,-5.13734669335935E-08,2.78585507714988E-07,3.33947084824655E-15,1.24657660233391E-10,115691.876348088,2.87171170965845E-08,3.69136633461265E-16,0,0,0,0,7.18851976996652E-14,3.36835409370039E-06,1.50747924512643E-08,0,3.89315273139199E-09,7.54853103127523E-15,8.36223665154884E-16,-2.3852837980443E-09
max_tot_fert_norm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_yield_tech_chg_mlt[3],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_avg_life_ind_cap_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_avg_life_agr_inp_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_res_tech_chg_mlt[4],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nr_resources_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_air_poll_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_avg_life_serv_cap_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_fr_cap_al_obt_res_2[7],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_nr_res_use_fact_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
life_expect_norm,0,1.27752781204288E-13,0,0,5.89276398223627E-15,0,0,2.92513043991899E-06,0,-3.19437128234193E-16,0,-5.48987222547898E-13,0,1.47985871084028E-07,0,1.34997438867304E-14,-4.4631105031145E-06,-4.81535703016055E-07,-2.33781946472532E-14,0,1.57741885534435E-07,2151651.23125486,27509.2094544714,-4.38458356620358E-06,1.16266987931519E-14,-2.19494468145633E-10,-27509.2094541975,5.03857345244436E-08,6.18854589808931E-16,0,0,0,0,-2.50884036131673E-14,2.76734692313103E-05,-6.18759301145377E-09,0,-6.21540352017527E-09,7.31835922258506E-15,4.10808082561416E-15,-1.09813397065208E-09
urb_ind_land_dev_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_avg_life_ind_cap_1,0,7.05894323998229E-12,0,0,-2.37754922965865E-14,0,0,-0.0017404666379,0,-4.92388784564113E-15,0,-6.05679436449289E-12,0,2.57546336163917E-06,0,-4.14481803687452E-13,5.78841420028004E-05,-7.95209153203354E-06,4.54054355373449E-13,0,-2.51971603332493E-06,1398100910.64018,10250231.5448107,2.1544436073336E-05,2.30799101642271E-14,-6.91366420258504E-09,-10250231.5448071,4.04100866229476E-06,-3.47906631980396E-15,0,0,0,0,-1.78856684986899E-13,5.69291220403341E-05,-3.05614420023999E-09,0,5.97725478416071E-08,-1.05054969927803E-13,-4.73232025557583E-14,6.0212148252554E-08
avg_life_land_norm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_serv_cap_out_ratio_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pop4_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_fioa_cons_const_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_res_tech_chg_mlt[3],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pop3_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_yield_tech_chg_mlt[2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agr_inp_init,0,2.47535559165345E-13,0,0,2.27781248673448E-16,0,0,8.20681661007301E-05,0,6.76728803500467E-17,0,-1.11474277567565E-13,0,-7.65441253285185E-08,0,-2.87133291379296E-14,-2.5146621232092E-06,-4.70592280336643E-07,-9.78526454428865E-15,0,9.69512635741251E-08,3.0478781425615E-06,-5.03640764077006E-08,-7.44926021053028E-09,-1.12261406571567E-14,1.25553524924672E-10,83539.259887097,9.06308935361551E-08,-3.64266327568778E-16,0,0,0,0,-7.89972301141303E-15,-1.63104680701763E-05,-1.54029939132017E-08,0,-7.49468067061282E-10,1.30324403985078E-14,1.74742563472261E-15,-1.87968778383061E-09
p_ppoll_tech_chg_mlt[4],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
land_fr_harvested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hlth_serv_impact_del,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_fr_cap_al_obt_res_2[2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_avg_life_agr_inp_2,0,7.56948388224727E-13,0,0,-2.95019230886103E-14,0,0,-0.00059208992119,0,1.18971400698115E-16,0,1.43658979057734E-13,0,7.72357425761024E-07,0,4.02612109441617E-15,3.28785048394755E-05,-1.22176107884232E-06,-5.71954187147357E-14,0,8.93233448560588E-07,70850478.7479018,519709.043365791,1.32330611144088E-06,-4.659816758459E-15,-4.80078315815155E-10,-519709.043365219,3.31310902814477E-07,1.53945682691879E-17,0,0,0,0,5.60348029618152E-15,-1.87970085899302E-05,-1.88690998467623E-08,0,9.82497596899945E-09,4.71306477649219E-15,-1.22382114677734E-14,-9.96089229484861E-09
t_fert_cont_eff_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arable_land_init,0,2.42727093796935E-14,0,0,-1.51831165958822E-15,0,0,-4.08026709054068E-05,0,-1.44470419467473E-16,0,3.42917026414782E-13,0,1.45822352648093E-07,0,-5.98423232913166E-15,-5.65306516316306E-06,-8.65200043665143E-08,2.42363705905228E-14,0,1.0747453961369E-07,-2.04253488392547E-05,-3.19926586359243E-08,-4.08468851101596E-07,-2.10707346353604E-15,-7.6939614946628E-11,1005243.08598318,-5.20475820594808E-08,-6.91832821340634E-16,0,0,0,0,-6.67469231839925E-15,-1.67918884927588E-05,1.48658746996478E-07,0,-5.25525789665573E-09,1.02677099666337E-15,-6.28908175250325E-15,-2.31470023622223E-09
p_fr_cap_al_obt_res_2[4],0,-2.07192699961746E-12,0,0,4.77386758546074E-14,0,0,-0.01021949682719,0,-4.70488734140472E-14,0,3.40243092458141E-12,0,2.04899653511948E-06,0,-6.19785433902862E-13,0.0003976384812,2.97007637684959E-06,1.948420527994E-13,0,-2.14026560382459E-05,-3496814883.65111,-25637057.3297452,3.06308047852791E-05,-2.92945669718699E-14,-6.60055842187547E-09,25637057.3297994,1.10960661230196E-06,-4.63627757566607E-14,0,0,0,0,1.20582096090304E-13,9.7053703975002E-05,-3.33938031996252E-06,0,2.25881212338023E-07,4.38491050004701E-14,1.39770144797836E-14,-6.77699319453636E-08
food_short_perc_del,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_avg_life_serv_cap_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pop1_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inherent_land_fert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social_discount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
service_capital_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labor_force_partic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ind_mtl_toxic_index,0,4.65609187555032E-12,0,0,3.65216933571181E-13,0,0,-0.01614771283061,0,-1.42161312258772E-14,0,-1.7101228669026E-12,0,-1.2359533792059E-06,0,-2.15432378636255E-13,-0.00022488171682,3.88238416387682E-06,-2.23417012847126E-14,0,6.85799800099172E-06,713712181.895774,9124151.36631416,3.38771909215873E-05,2.99298090680704E-13,9.62962039926032E-11,-9124151.36630374,5.54796624892229E-06,1.399992718327E-15,0,0,0,0,-1.93730868369506E-14,7.52520003626305E-05,-8.86193208574607E-07,0,-4.49767004728963E-08,1.19102398515736E-13,-2.89865753309071E-13,1.35241688870581E-07
p_fr_cap_al_obt_res_2[10],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
labor_util_fr_del_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_ppoll_tech_chg_mlt[2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ind_out_pc_des,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_ppoll_tech_chg_mlt[3],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_zero_pop_grow_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_res_tech_chg_mlt[2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pot_arable_land_tot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_fr_cap_al_obt_res_2[3],0,7.62993889786106E-14,0,0,7.15912874237082E-15,0,0,-0.00018000860157,0,-1.29738811425985E-16,0,-6.96625281981175E-13,0,-1.05526592916678E-07,0,5.57321685827333E-14,6.42662887392317E-06,-4.79078607765226E-07,1.35544987097704E-14,0,1.05005098938212E-07,-176535964.823116,-1294941.32518045,-1.24071172025356E-06,-1.08272682141229E-14,-9.92499751260585E-10,1294941.32518015,-1.19860052655083E-07,-1.63286539763798E-15,0,0,0,0,-9.35444882300355E-15,-1.57297439835799E-05,-1.44645528430967E-07,0,-2.37513487334677E-09,-4.01323851288979E-14,7.09234061148837E-15,2.46783516517004E-08
p_fr_cap_al_obt_res_2[11],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yield_tech_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_land_life_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tech_dev_del_TDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_ppoll_gen_fact_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reproductive_lifetime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pot_arable_land_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assim_half_life_1970,0,-3.03213405986023E-14,0,0,8.81758176387081E-15,0,0,0.00040240090228,0,-2.61043041177885E-16,0,1.47305346010807E-13,0,-5.44959474052241E-08,0,-1.42806854491893E-14,1.7919051473438E-05,-2.19315834664697E-07,-7.5282957236633E-15,0,-1.33669459695358E-07,1.47263540290744E-05,1.83882346655764E-07,2.48119183836006E-07,-1.13577801502143E-14,-6.06448756749464E-11,2821523.31983364,-2.14723287581826E-08,-6.57075839445237E-16,0,0,0,0,-1.31175041082914E-14,-4.57111238393095E-06,-9.7929322659584E-08,0,-3.72632938042721E-09,8.09570057859945E-16,-2.20519458271864E-15,-3.36949802216764E-09
p_fr_cap_al_obt_res_2[9],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
