parameter,parameter_default,parameter_perturbed_10_percent,population_2100_std,population_2100_new,std/new,(new-std)/std,ABS((new-std)/std),perturbed_param_csv_path
agr_inp_init,5000000000.0,5500000000.0,3985193933.2464,3983379064.3275,1.0005,-0.0004554029112100912,0.0004554029112100912,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/agr_inp_init_perturbed.csv
agr_mtl_toxic_index,1.0,1.1,3985193933.2464,3958311933.9366,1.0068,-0.006745468290900587,0.006745468290900587,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/agr_mtl_toxic_index_perturbed.csv
arable_land_init,900000000.0,990000000.0,3985193933.2464,3947015714.7299,1.0097,-0.009580015215308373,0.009580015215308373,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/arable_land_init_perturbed.csv
assim_half_life_1970,1.5,1.65,3985193933.2464,3935010641.1477,1.0128,-0.012592434129760681,0.012592434129760681,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/assim_half_life_1970_perturbed.csv
avg_life_land_norm,1000.0,1100.0,3985193933.2464,4012812010.9668,0.9931,0.006930171575834589,0.006930171575834589,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/avg_life_land_norm_perturbed.csv
des_compl_fam_size_norm,3.8,4.18,3985193933.2464,4867638113.2720,0.8187,0.2214306743427959,0.2214306743427959,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/des_compl_fam_size_norm_perturbed.csv
des_food_ratio_dfr,2.0,2.2,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/des_food_ratio_dfr_perturbed.csv
des_ppoll_index_DPOLX,1.2,1.3199999999999998,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/des_ppoll_index_DPOLX_perturbed.csv
des_res_use_rt_DNRUR,4800000000.0,5280000000.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/des_res_use_rt_DNRUR_perturbed.csv
food_short_perc_del,2.0,2.2,3985193933.2464,3985124465.0324,1.0000,-1.7431576785426444e-05,1.7431576785426444e-05,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/food_short_perc_del_perturbed.csv
fr_agr_inp_pers_mtl,0.001,0.0011,3985193933.2464,3958311933.9366,1.0068,-0.006745468290900587,0.006745468290900587,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/fr_agr_inp_pers_mtl_perturbed.csv
frac_res_pers_mtl,0.02,0.022,3985193933.2464,3979522397.6450,1.0014,-0.0014231517201941852,0.0014231517201941852,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/frac_res_pers_mtl_perturbed.csv
hlth_serv_impact_del,20.0,22.0,3985193933.2464,3998109851.0622,0.9968,0.0032409759806327552,0.0032409759806327552,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/hlth_serv_impact_del_perturbed.csv
income_expect_avg_time,3.0,3.3,3985193933.2464,3999469322.9775,0.9964,0.0035821066603674134,0.0035821066603674134,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/income_expect_avg_time_perturbed.csv
ind_mtl_emiss_fact,0.1,0.11,3985193933.2464,3979540872.7051,1.0014,-0.0014185157952077134,0.0014185157952077134,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/ind_mtl_emiss_fact_perturbed.csv
ind_mtl_toxic_index,10.0,11.0,3985193933.2464,3979540872.7051,1.0014,-0.0014185157952077134,0.0014185157952077134,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/ind_mtl_toxic_index_perturbed.csv
ind_out_in_1970,790000000000.0,869000000000.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/ind_out_in_1970_perturbed.csv
ind_out_pc_des,400.0,440.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/ind_out_pc_des_perturbed.csv
industrial_capital_init,210000000000.0,231000000000.0,3985193933.2464,3841270748.0302,1.0375,-0.03611447463461229,0.03611447463461229,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/industrial_capital_init_perturbed.csv
inherent_land_fert,600.0,660.0,3985193933.2464,3930403001.3923,1.0139,-0.013748623723691308,0.013748623723691308,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/inherent_land_fert_perturbed.csv
labor_force_partic,0.75,0.825,3985193933.2464,3984045462.4569,1.0003,-0.0002881844167936205,0.0002881844167936205,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/labor_force_partic_perturbed.csv
labor_util_fr_del_init,1.0,1.1,3985193933.2464,3987039395.5438,0.9995,0.00046307967146996365,0.00046307967146996365,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/labor_util_fr_del_init_perturbed.csv
labor_util_fr_del_time,2.0,2.2,3985193933.2464,3985145129.8856,1.0000,-1.2246169604923643e-05,1.2246169604923643e-05,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_39_19/labor_util_fr_del_time_perturbed.csv
